950,869
976,1459
1081,1695
1107,1375
1131,1499
1250,1350
1275,899
1372,1975
1400,1549
1586,1895
1747,1800
1748,1695
1850,2195
1876,1999
1919,1799
2041,2325
2297,1850
2332,2250
2418,1749
2422,1850
2422,1800
2495,1995
2541,2200
2545,2250
2556,1975
3244,3299
3737,3577
3809,3250
3811,3200
4220,3100
4717,2975
